dia_semana,hora_dia,local,ruido,categoria_tarefa,prazo_urgencia,dificuldade,interesse,horas_sono,horas_jejum,tempo_reacao_ms,target
5,17,0,1,3,6,1,4,8.587451752529965,5.431876640003341,316.7303253496084,35
5,19,0,2,3,7,3,2,5.093965377245881,3.7706044681179915,385.07202340883765,28
1,19,0,1,1,4,3,5,7.373962199190839,0.8498557687505853,256.40931968103877,62
2,21,0,2,3,4,1,2,7.647311818285476,1.4923299365813596,295.27195158899286,32
3,15,0,2,2,1,1,3,7.657571050987077,3.4634049555173556,334.3258279935133,30
0,17,1,0,1,4,2,2,6.300264266152538,1.1003940081343027,308.9641411666426,58
6,21,0,2,0,2,5,1,4.298640400747855,0.6641841138293767,325.19614178321376,21
6,17,0,2,0,2,4,2,8.577951052969421,5.942055089373733,294.80535428517715,10
0,14,2,1,0,2,4,1,6.001487384783429,4.834942106506549,361.8156055408491,41
3,19,0,2,0,8,3,1,5.349264504078724,1.091882038138987,347.5937942656976,37
3,6,2,1,1,9,3,5,6.967688197681366,3.4395033628633342,295.2023773309002,70
2,9,0,0,2,5,4,5,4.193260750733588,5.3528860520442265,427.0255885192913,28
2,6,0,0,1,10,1,3,6.035324036928412,1.1070678726654712,347.3491558754688,64
4,15,0,1,2,10,1,2,9.262861919753302,0.7929732417514512,282.1492260034731,63
2,12,0,1,3,5,2,2,7.217600289681192,5.084895419861291,301.0662388436935,41
5,14,0,2,2,10,3,4,8.308515477182132,3.5722921649927564,327.20734631938797,45
5,22,1,2,3,3,5,1,9.506412189982775,4.218980063556381,274.5058507117112,20
3,13,1,0,3,4,2,3,9.30661729441411,4.737392678766556,277.0188136562713,51
3,16,2,0,2,7,1,5,9.187236427567754,3.008241671378844,246.97919731840489,63
4,14,0,1,3,5,5,1,5.82126660009622,0.823270041538859,322.1153600641573,40
5,7,2,1,2,3,2,2,4.352199412078421,3.952197660414847,392.03034607125335,35
5,15,0,2,2,4,4,3,8.376831131258971,1.00406561505852,264.1442038943705,29
1,15,0,0,2,1,5,2,4.882636596190882,3.20858633015678,386.732877381002,40
0,20,2,2,1,1,3,2,6.339137761194329,3.1995885963897717,362.5442921163293,31
6,9,2,0,3,5,2,5,8.370114721371145,2.3053458534708255,312.2006963582558,51
4,17,0,0,3,7,3,4,4.724651450177328,2.8472188432954946,374.92584757900863,62
0,6,0,1,1,6,3,5,4.256219914797942,4.323639347211557,410.4020659638204,31
0,10,1,2,0,10,5,2,5.435163294305317,2.38283496557145,317.38419363614923,56
2,22,1,0,1,7,3,3,8.671989982451167,0.63539796194252,247.55832738117368,61
4,7,1,0,3,4,5,5,7.468886475763843,4.012572996739997,289.76404524760153,54
6,6,0,2,0,7,3,4,6.023269320562817,5.755401882019201,347.4104595661899,29
6,6,1,0,1,7,3,3,8.017926116125455,1.8634452030093076,259.99730392104584,50
4,12,0,1,2,2,1,3,6.025350689195422,4.003306454617945,329.38698590560955,39
4,7,0,0,2,2,2,2,7.636980333036868,5.585309909992996,346.5287186759407,40
1,9,2,1,3,4,3,3,5.168558179947876,2.7730654858176975,339.7045405196346,50
3,23,0,0,2,9,4,4,8.887184960336826,2.01566342538349,236.64606576546416,76
3,10,1,2,3,4,4,2,9.896046633616802,2.9056526931802633,228.009049459415,40
3,22,1,2,0,2,5,5,5.598831655685575,0.9807316510541111,306.55786980780744,51
4,9,1,2,1,8,5,4,8.04864062114125,4.602693873376379,318.2350490731793,42
1,12,0,1,3,1,4,1,6.242614907053087,4.993068013712991,376.7186146482069,39
5,8,0,0,0,2,1,3,4.09367187341524,0.5419856369527206,314.85584893133847,35
4,6,0,1,0,8,4,5,9.562854801934884,4.771273578332723,291.4755086374914,53
0,8,1,0,1,6,3,4,7.694210337650922,5.4544710432113535,315.5563841640541,59
4,11,2,2,1,6,3,3,4.0318033913279425,2.773403372057314,370.0028217063992,38
5,22,1,1,3,9,2,3,7.25618669970966,3.6093957824518372,334.39141183676645,66
5,19,0,2,0,3,1,5,7.774834375082098,5.581982633903148,306.0063652657977,24
3,15,1,0,3,5,4,5,5.987244616592878,5.416862718730691,366.4096171946212,60
0,16,0,0,1,8,4,3,5.711965929102876,1.7911494806122148,339.388094301933,45
6,14,0,1,0,7,1,1,9.710911256115207,3.776585738650199,243.54203594067607,42
6,20,0,0,0,5,2,3,9.57628268786849,3.2496749684075,239.72109452842994,43
5,11,0,1,2,5,4,4,8.686907081834963,3.744478045290119,308.19101014044213,47
1,22,0,2,1,7,5,4,6.826574653209255,3.3481340687177354,307.7887370509562,35
6,20,0,0,2,6,3,3,5.085692813281787,3.2441038853992032,390.5631615799103,42
6,7,0,0,3,5,5,2,9.924505485775208,3.0925816526357632,232.57461268216525,33
5,15,1,0,3,10,4,5,9.397031858742366,2.1103025578111674,237.07079207638594,71
4,9,0,1,3,4,1,1,6.36426350601886,2.951406085079271,296.4918598050543,53
4,21,0,0,1,8,2,4,5.951337194282224,1.6794861526242664,303.6281942678667,60
3,15,1,0,3,4,1,1,5.536575871907928,5.195746639308215,384.5750398174549,49
4,7,1,2,0,10,4,2,4.963844653643199,2.962378825783068,334.98299506249015,62
3,10,2,2,2,5,3,2,6.560872434217834,5.698722879197569,329.14704951424255,23
0,10,2,0,3,1,2,1,4.79961167227826,5.994909326584362,358.4290196913456,44
5,21,0,0,2,2,3,5,4.664947923592058,1.4899583135743264,317.8657335829467,49
0,8,0,0,1,1,5,2,8.517048447159464,5.508630670981541,343.3177573060748,34
4,22,2,1,1,8,3,5,4.884794010555659,0.962264890936544,343.3780866491604,63
4,7,1,1,3,9,1,2,5.2165373133042845,1.837539122302231,358.032295939407,74
2,18,0,0,1,2,1,1,7.26973496006954,4.285191094604508,314.5818772501041,43
1,14,1,0,1,10,5,2,8.119188233284,4.868359633982869,324.45177066953227,55
4,7,0,1,2,6,4,3,5.601059851319493,4.871392705385198,372.0511949073869,38
1,7,2,2,2,1,3,1,7.175889682373388,1.596206460358308,327.46039623369956,34
0,22,0,1,2,9,1,2,7.079574767050169,3.8257536473484572,322.9846136736787,67
5,6,0,2,0,9,3,2,5.730623645054143,2.968185376523489,361.33142981709284,36
2,15,0,1,1,2,1,1,4.5540775567908085,4.121805139907129,370.61399929216384,39
3,6,2,2,0,6,5,3,8.535784082573173,5.399886146818398,280.30533768613236,24
4,18,0,0,3,5,3,4,6.667690407478642,4.611302891602711,323.00648092448876,48
6,14,0,1,0,7,5,3,9.33260674995031,0.9157046640576526,273.6599661357935,34
3,15,2,1,1,6,1,3,8.783006567885439,2.468826103851521,262.40152175046757,50
5,15,0,0,1,5,1,2,8.375861388515903,1.1090817446997203,262.1341753667523,41
4,15,0,0,1,9,3,2,5.2587711761870315,4.995314595377486,336.1795457679151,52
0,7,0,1,2,2,2,5,7.875626183497758,5.472049182295764,291.10754780732805,53
3,20,0,1,1,6,3,3,4.402564758933059,3.7940707706266044,398.79546702063345,54
6,15,0,2,3,6,3,5,4.381549265523149,0.6479112616076758,363.3969857983554,37
0,10,1,1,1,7,5,5,7.721983795684576,5.568887252194029,293.05277674570726,57
0,10,0,2,3,8,5,1,8.831260378641648,5.732596716178881,285.90865560931854,21
6,8,0,0,0,9,2,5,7.798914626051244,5.848660005895994,350.31677157700096,57
2,8,2,2,3,10,5,5,5.794318483492818,5.578938696969466,382.3080087704855,48
2,16,2,2,2,3,3,4,4.764539541699215,2.0977771187600696,344.92165693432685,45
1,15,0,2,1,10,2,1,6.929598225152237,4.440156731898805,335.8622479794784,40
6,17,0,0,3,1,1,1,7.187678395157503,4.290357795679316,292.6903433667074,26
5,18,2,2,3,6,2,3,4.419788109150331,2.0090584236652984,370.7988242463159,25
3,14,0,1,0,7,5,5,7.424058715780326,3.3573490582404943,320.71141759683627,58
6,22,1,1,3,1,5,1,5.200147272911114,3.914370156144271,392.3412281740494,40
1,12,1,0,2,8,2,2,9.652800761930107,2.5518126058179598,242.67844603959736,58
6,15,0,0,1,1,5,5,7.7240501096005785,1.371216528918235,266.5049501481008,47
3,16,0,2,0,1,3,2,7.707007660562439,3.9755264618341526,334.9177703153336,34
1,20,1,2,0,4,5,3,4.546258510475144,5.384388649618961,418.48466279522773,10
4,23,1,1,1,2,2,3,8.936220075780179,1.1861189233371225,291.9068972143554,60
6,20,1,2,2,9,1,4,7.714047011356248,3.8943476566995994,310.68422089382227,56
1,15,0,0,0,10,1,2,4.099781035565087,4.328781267351708,404.8357999528441,38
4,6,0,1,1,5,1,5,5.9576575615024865,5.813943198056952,351.57296351276625,45
2,6,0,0,1,2,2,3,5.608806910172909,2.946973819658807,354.9066367515985,50
5,13,2,0,0,8,1,2,5.56536074714947,2.01873023773048,300.06454342795473,38
3,12,2,2,3,1,5,4,8.832317300637548,1.5565814811751344,295.16537080845114,38
2,16,2,1,3,6,3,4,7.063046182347781,5.964781936906818,360.4665840624194,53
4,18,0,0,1,2,5,3,6.4208255791537265,3.128255914420966,360.0313502376542,47
0,7,0,1,0,7,5,4,5.871350773643478,3.9378489556865386,337.9530275329484,56
4,12,0,0,3,9,3,5,7.921618595154086,4.801432164499929,336.81709640233805,64
3,6,0,0,2,2,5,3,6.151117045138659,4.047096061068366,329.95209298067454,33
3,12,0,2,3,2,5,2,9.269478579179129,5.329559244010868,265.41835131015284,15
2,21,0,0,0,4,4,5,4.606946684808616,5.6569898779245325,385.90986862738697,49
1,15,2,2,2,10,5,3,5.605188702193713,4.9331223833256495,353.3579978886879,33
4,16,2,2,3,8,3,2,6.182266282113732,3.4086564531298182,308.0101737037201,34
4,10,0,2,1,3,5,2,5.944286671994712,3.969406644568877,318.09894148345614,26
5,6,0,0,2,7,3,3,4.765806374852604,1.714842360042538,341.48203652453026,36
0,17,0,1,1,1,4,3,4.273340325428959,4.229005594050799,378.0829737936118,40
